Name,Code,City,State Code,State Name,Zipcode,Country Code,Accreditation Status,Organization Type,Category,Sub-Category,Residency - Number Positions,Residency - Estimated Stipend
Walgreens and Nova Southeastern University College of Pharmacy Community Residency Program,33124,Miami,FL,Florida,33137-9800,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,,
Walgreens and Rutgers University,21034,Piscataway,NJ,New Jersey,8854,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,
Walgreens and the University of Cincinnati,44128,Cincinnati,OH,Ohio,45219,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens Pharmacy 13641,34810,Atlanta,GA,Georgia,30309,US,Pre-candidate,Community Pharmacy,PGY1,Community-Based Pharmacy,,
"Walgreens Pharmacy and the University of Illinois at Chicago, College of Pharmacy",41021,Chicago,IL,Illinois,60611,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Howard University College of Pharmacy,32003,Washington,DC,District of Columbia,20059,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Massachusetts College of Pharmacy and Health Sciences - Worcester,13014,Worcester,MA,Massachusetts,1608,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/Purdue University College of Pharmacy,13007,Indianapolis,IN,Indiana,46256,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
Walgreens/St. Louis College of Pharmacy at UHSP,64014,St. Louis,MO,Missouri,63110,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Walgreens/University of Houston College of Pharmacy,74042,Houston,TX,Texas,77030,US,Accredited,University,PGY1,Community-Based Pharmacy,1,50000
West Virginia University School of Pharmacy,39300,Morgantown,WV,West Virginia,26506-9520,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,3,40000
"Western New England University College of Pharmacy & Health Sciences/Big Y Foods, Inc.",13041,Springfield,MA,Massachusetts,1119,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Western New England University College of Pharmacy & Health Sciences/Walgreens,13022,Springfield,MA,Massachusetts,1119,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,50000
Western University of Health Sciences College of Pharmacy,92114,Los Angeles,CA,California,91766,US,Accredited,College of Pharmacy,PGY1,Community-Based Pharmacy,1,58000
"Wilkes University, Nesbitt School of Pharmacy/Weis Markets",23110,Wilkes-Barre,PA,Pennsylvania,18766,US,Accredited,Community Pharmacy,PGY1,Community-Based Pharmacy,1,50000
WVU Medicine - Allied Health Solutions Specialty Pharmacy,39701,Morgantown,WV,West Virginia,26506,US,Accredited,Health System,PGY1,Community-Based Pharmacy,1,47000
Yale New Haven Hospital,11029,Hamden,CT,Connecticut,6514,US,Accredited,Hospital,PGY1,Community-Based Pharmacy,1,50000
